Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,On Hours,User Hours,Active Hours
Month,Student,Active,03/01/22,0.18,0.03,0.02,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.03,0.22,0.0,0.0,0.0,0.0,0.93,5.07,0.55
Month,Student,Active,02/01/22,3.67,2.9,4.27,2.92,2.17,2.73,2.5,0.9,0.68,1.38,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.95,115.38,24.98
Month,Student,Active,01/01/22,1.45,0.7,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.08,3.4,2.33
Month,Student,Active,12/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,11/01/21,32.67,16.42,18.73,6.97,4.15,1.73,1.5,1.43,1.73,1.55,1.98,1.68,1.88,3.2,2.93,3.5,4.73,6.1,1.63,0.0,0.0,129.5,666.38,114.53
Month,Student,Active,10/01/21,4.72,4.12,3.67,4.25,1.1,1.72,1.63,1.13,1.38,1.5,1.63,2.15,2.47,2.73,2.77,4.17,3.77,7.62,6.37,4.15,0.0,68.28,732.07,63.03
Month,Student,Active,09/01/21,2.78,3.32,3.87,3.28,3.5,1.77,4.08,2.92,1.48,1.42,1.52,2.18,3.85,2.88,3.4,5.0,4.95,5.23,5.57,4.95,0.0,76.8,789.1,67.95
Month,Student,Active,08/01/21,4.77,1.97,0.92,2.45,1.07,0.67,0.73,0.82,0.73,1.5,1.08,1.18,2.12,2.02,2.87,3.22,5.42,8.47,12.15,0.0,0.0,73.88,715.52,54.13
Month,Student,Active,07/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,06/01/21,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.03,0.03
Month,Student,All,03/01/22,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.0,0.3,0.0,0.0,0.93,6.77,0.58
Month,Student,All,02/01/22,5.33,2.3,4.37,3.07,1.82,2.62,2.3,1.87,0.92,1.53,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.95,124.97,27.05
Month,Student,All,01/01/22,6.2,0.78,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.08,8.42,7.2
Month,Student,All,12/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,All,11/01/21,31.1,16.38,20.57,7.6,4.1,1.98,1.47,1.28,1.73,1.58,2.15,1.65,2.12,2.55,2.7,3.82,4.95,6.02,3.02,0.0,0.0,129.5,698.33,116.77
Month,Student,All,10/01/21,4.68,3.78,3.48,4.03,1.07,1.92,1.35,1.27,1.1,1.07,1.67,2.0,2.12,3.05,2.63,3.9,3.87,6.27,6.55,7.63,0.0,68.28,765.92,63.43
Month,Student,All,09/01/21,2.78,3.02,3.78,2.73,3.3,2.47,3.35,3.17,2.05,1.48,1.2,1.93,3.62,2.93,2.32,4.2,3.4,6.55,7.77,6.65,0.0,76.8,827.17,68.7
Month,Student,All,08/01/21,4.43,2.43,0.57,2.03,1.4,0.67,0.65,0.72,0.68,1.1,0.93,1.48,1.82,1.73,2.88,3.42,4.62,8.03,19.98,0.0,0.0,73.88,834.2,59.58
Month,Student,All,07/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,All,06/01/21,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.03,0.03
Month,Teacher,Active,03/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0
Month,Teacher,Active,02/01/22,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.95,0.77,0.77
Month,Teacher,Active,01/01/22,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.08,0.07,0.07
Month,Teacher,Active,12/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
