Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,On Hours,User Hours,Active Hours
Month,Student,Active,03/01/22,0.32,0.43,0.58,0.45,0.55,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,9.98,2.75
Month,Student,Active,02/01/22,6.88,7.57,7.13,5.5,6.4,3.15,3.4,4.12,2.55,2.52,2.82,1.2,1.97,1.22,1.13,1.02,0.6,0.08,0.0,0.0,0.0,73.03,354.12,59.25
Month,Student,Active,01/01/22,0.12,0.05,0.83,0.95,0.58,0.28,0.3,0.5,1.22,1.73,0.15,0.43,0.85,1.05,0.25,0.35,0.08,0.0,0.0,0.0,0.0,14.63,88.88,9.73
Month,Student,Active,12/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0
Month,Student,Active,11/01/21,6.97,5.1,3.68,4.12,5.17,5.8,2.65,0.83,0.55,0.4,0.82,0.8,0.37,0.27,0.15,0.12,0.0,0.0,0.0,0.0,0.0,68.78,170.68,37.78
Month,Student,Active,10/01/21,11.37,13.12,9.4,6.72,9.83,9.1,10.68,11.52,9.68,7.57,6.23,4.22,4.8,4.38,2.57,2.6,0.63,0.35,0.0,0.0,0.0,153.53,866.27,124.77
Month,Student,Active,09/01/21,12.55,5.28,3.23,4.05,3.03,2.37,1.92,2.37,2.68,3.47,2.75,3.32,2.68,3.15,3.35,1.75,2.75,0.53,0.0,0.0,0.0,88.43,453.18,61.23
Month,Student,Active,08/01/21,2.98,2.07,2.12,2.58,3.28,4.5,4.77,4.12,2.97,4.47,4.1,4.6,3.63,3.7,5.03,9.13,12.68,14.3,14.52,2.65,0.0,175.02,1427.68,108.2
Month,Student,Active,07/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,06/01/21,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.03,0.03
Month,Student,All,03/01/22,0.27,0.37,0.6,0.37,0.68,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,10.58,2.77
Month,Student,All,02/01/22,6.23,7.38,7.4,5.28,5.72,3.28,2.98,3.7,2.45,2.55,2.75,1.9,1.58,2.98,1.47,1.43,0.75,0.22,0.0,0.0,0.0,73.03,387.63,60.07
Month,Student,All,01/01/22,0.07,0.02,0.37,0.7,1.03,0.55,0.23,0.35,1.1,1.9,0.27,0.12,0.62,1.4,0.47,0.47,0.12,0.0,0.0,0.0,0.0,14.63,94.2,9.77
Month,Student,All,12/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0
Month,Student,All,11/01/21,6.42,5.7,2.58,2.78,3.88,6.18,4.12,2.67,1.15,0.4,0.45,1.03,0.7,0.48,0.15,0.13,0.0,0.0,0.0,0.0,0.0,68.78,195.32,38.83
Month,Student,All,10/01/21,12.72,12.4,11.02,5.55,8.07,9.27,9.22,11.03,11.32,10.05,6.82,4.57,4.75,4.2,2.98,3.12,1.52,1.2,0.0,0.0,0.0,153.53,936.17,129.78
Month,Student,All,09/01/21,11.48,5.4,4.45,4.75,2.37,2.33,1.25,2.2,3.2,2.65,3.5,3.13,2.33,1.73,2.2,2.35,4.3,3.53,0.37,0.0,0.0,88.43,507.08,63.53
Month,Student,All,08/01/21,5.1,1.7,1.68,2.57,2.63,4.07,4.77,4.17,2.9,4.63,3.93,5.03,3.03,2.92,4.53,5.15,13.1,15.85,21.43,4.12,0.0,175.02,1532.42,113.32
Month,Student,All,07/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,All,06/01/21,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.03,0.03
Month,Teacher,Active,03/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0
Month,Teacher,Active,02/01/22,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.03,1.42,1.42
Month,Teacher,Active,01/01/22,5.58,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.63,5.62,5.6
Month,Teacher,Active,12/01/21,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.28,0.28
Month,Teacher,Active,11/01/21,11.92,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.78,16.92,14.42
Month,Teacher,Active,10/01/21,10.87,2.52,0.22,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.53,16.82,13.67
Month,Teacher,Active,09/01/21,16.02,4.45,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.43,26.12,20.87
Month,Teacher,Active,08/01/21,44.95,11.75,4.72,1.68,0.42,0.87,0.25,0.13,0.1,0.07,0.02,0.08,0.02,0.12,0.18,0.45,0.28,0.02,0.0,0.0,0.0,175.02,119.1,66.1
Month,Teacher,Active,07/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Teacher,Active,06/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0
Month,Teacher,All,03/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0
Month,Teacher,All,02/01/22,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.03,1.42,1.42
Month,Teacher,All,01/01/22,5.58,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.63,5.62,5.6
Month,Teacher,All,12/01/21,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.28,0.28
Month,Teacher,All,11/01/21,11.92,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.78,16.92,14.42
Month,Teacher,All,10/01/21,10.87,2.52,0.22,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.53,16.82,13.67
Month,Teacher,All,09/01/21,16.02,4.45,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.43,26.12,20.87
Month,Teacher,All,08/01/21,44.95,11.75,4.72,1.68,0.42,0.87,0.25,0.13,0.1,0.07,0.02,0.08,0.02,0.12,0.18,0.45,0.28,0.02,0.0,0.0,0.0,175.02,119.1,66.1
Month,Teacher,All,07/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Teacher,All,06/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0
Week,Student,Active,02/28/22,0.32,0.45,0.68,0.55,0.57,0.42,0.17,0.47,0.62,1.23,0.55,0.25,0.28,0.23,0.2,0.05,0.0,0.0,0.0,0.0,0.0,8.15,53.38,7.03
Week,Student,Active,02/21/22,5.05,3.82,3.53,2.18,2.92,1.92,2.3,3.05,1.6,1.07,1.98,0.67,0.63,0.67,0.38,0.13,0.0,0.0,0.0,0.0,0.0,36.1,178.93,31.9
Week,Student,Active,02/14/22,1.55,3.2,2.4,1.2,2.13,1.05,0.57,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.42,42.35,12.28
Week,Student,Active,02/07/22,0.12,0.1,0.28,0.88,1.05,0.15,0.32,0.37,0.2,0.15,0.05,0.08,0.08,0.2,0.28,0.27,0.45,0.08,0.0,0.0,0.0,5.37,42.4,5.12
Week,Student,Active,01/31/22,0.2,0.48,1.08,1.8,0.4,0.1,0.18,0.08,0.18,0.07,0.23,0.2,0.97,0.12,0.27,0.57,0.15,0.0,0.0,0.0,0.0,7.23,53.27,7.08
Week,Student,Active,01/24/22,0.05,0.0,0.05,0.12,0.23,0.17,0.15,0.4,1.03,1.4,0.15,0.43,0.85,1.05,0.25,0.35,0.08,0.0,0.0,0.0,0.0,8.77,73.75,6.77
Week,Student,Active,01/17/22,0.03,0.0,0.52,0.17,0.23,0.05,0.02,0.07,0.13,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,8.9,1.55
Week,Student,Active,01/10/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.0,0.0
Week,Student,Active,01/03/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0
Week,Student,Active,12/27/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Week,Student,Active,12/20/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Week,Student,Active,12/13/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0
Week,Student,Active,12/06/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Week,Student,Active,11/29/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Week,Student,Active,11/22/21,1.27,1.2,1.33,2.03,1.45,0.13,0.13,0.05,0.03,0.22,0.67,0.4,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.02,40.43,8.97
Week,Student,Active,11/15/21,2.73,2.47,1.83,1.5,3.02,4.33,1.43,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.88,73.35,17.7
