Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,On Hours,User Hours,Active Hours
Month,Student,Active,03/01/22,0.02,0.0,0.0,0.12,0.1,0.02,0.05,0.05,0.0,0.07,0.0,0.02,0.03,0.08,0.15,0.28,0.43,0.68,0.37,0.0,0.0,2.48,37.72,2.47
Month,Student,Active,02/01/22,7.72,6.03,5.43,2.3,2.1,3.08,1.75,1.15,0.55,0.93,0.88,1.05,2.02,2.52,3.93,5.5,5.68,4.52,2.23,0.0,0.0,86.35,561.13,59.38
Month,Student,Active,01/01/22,1.85,0.95,0.05,0.58,0.42,0.13,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.57,10.17,4.13
Month,Student,Active,12/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,0.0,0.0
Month,Student,Active,11/01/21,0.43,0.45,0.05,0.12,0.32,0.05,0.08,0.08,0.1,0.13,0.22,0.25,0.3,0.2,0.63,0.67,1.23,3.37,4.93,3.93,0.0,18.73,293.53,17.55
Month,Student,Active,10/01/21,1.52,3.58,4.95,0.65,0.48,0.98,0.92,0.87,0.9,1.28,1.17,1.28,1.03,2.38,2.77,2.4,4.0,7.32,7.07,3.3,0.0,78.25,623.63,48.85
Month,Student,Active,09/01/21,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.65,0.05,0.03
Month,Student,Active,08/01/21,0.13,0.23,0.03,0.02,0.03,0.03,0.05,0.02,0.03,0.03,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.65,7.93,1.13
Month,Student,Active,07/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,06/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0
Month,Student,All,03/01/22,0.0,0.03,0.0,0.1,0.08,0.02,0.03,0.03,0.03,0.0,0.02,0.03,0.05,0.02,0.1,0.22,0.17,0.72,0.83,0.0,0.0,2.48,39.78,2.48
Month,Student,All,02/01/22,11.68,7.07,5.67,3.68,1.85,1.88,2.3,0.98,1.37,1.73,1.13,1.3,1.35,1.0,1.23,2.07,4.95,7.78,10.47,0.0,0.0,86.35,666.0,69.5
Month,Student,All,01/01/22,2.28,0.6,1.12,0.08,0.27,0.78,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.57,14.72,5.35
Month,Student,All,12/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,0.0,0.0
