Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,On Hours,User Hours,Active Hours
Month,Student,Active,03/01/22,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.1,0.1
Month,Student,Active,02/01/22,10.75,2.15,1.77,1.62,0.62,1.58,0.13,0.12,0.03,0.3,0.08,0.05,0.07,0.05,0.28,0.07,0.18,0.0,0.0,0.0,0.0,97.28,56.08,19.85
Month,Student,Active,01/01/22,8.02,4.15,1.23,1.15,1.02,0.18,0.2,0.05,0.33,0.55,0.17,0.1,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.3,46.3,17.32
Month,Student,Active,12/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,0.0,0.0
Month,Student,Active,11/01/21,8.05,12.05,6.2,3.77,3.32,1.93,1.03,1.08,1.85,1.63,1.53,1.18,1.62,1.68,1.02,2.28,1.17,0.32,0.05,0.0,0.0,155.62,296.8,51.77
Month,Student,Active,10/01/21,8.23,5.23,4.85,4.27,3.13,1.98,1.58,1.12,1.42,1.22,1.53,1.35,1.22,2.57,3.18,2.07,2.23,1.78,4.55,0.0,0.0,93.92,444.97,53.52
Month,Student,Active,09/01/21,11.15,9.67,6.67,7.85,5.58,6.55,4.82,4.62,4.35,3.65,4.38,4.38,3.85,2.48,1.67,2.9,4.17,1.13,1.08,0.0,0.0,172.67,664.25,90.95
Month,Student,Active,08/01/21,6.63,6.7,9.32,5.57,3.75,2.38,2.28,3.42,2.53,2.53,2.42,3.27,5.82,6.92,6.83,4.37,6.57,7.17,5.38,0.82,0.0,137.88,964.6,94.67
Month,Student,Active,07/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,Active,06/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0
Month,Student,All,03/01/22,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.1,0.1
Month,Student,All,02/01/22,18.6,2.43,1.73,1.62,0.42,1.88,0.07,0.05,0.07,0.07,0.03,0.02,0.32,0.05,0.0,0.58,0.23,0.0,0.0,0.0,0.0,97.28,69.33,28.17
Month,Student,All,01/01/22,7.18,4.52,2.45,0.87,1.27,0.07,0.02,0.0,0.07,0.07,0.97,0.25,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.3,54.42,18.15
Month,Student,All,12/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,0.0,0.0
Month,Student,All,11/01/21,9.52,9.87,6.48,4.1,3.38,2.42,1.12,1.07,1.07,1.53,1.33,1.62,1.12,2.28,1.63,1.72,1.77,1.9,0.37,0.0,0.0,155.62,341.52,54.28
Month,Student,All,10/01/21,9.63,3.5,7.67,4.03,3.1,2.2,1.95,1.25,1.5,1.55,1.4,1.35,1.55,0.93,1.55,2.65,2.27,3.02,9.3,0.0,0.0,93.92,537.12,60.4
Month,Student,All,09/01/21,12.9,11.38,5.82,7.12,7.4,5.53,6.78,4.37,3.72,4.03,2.73,2.7,5.35,3.42,2.9,3.03,4.2,2.45,3.22,0.0,0.0,172.67,756.48,99.05
Month,Student,All,08/01/21,7.82,5.23,5.7,5.18,7.13,3.03,2.85,3.22,2.55,2.1,2.2,1.68,4.0,4.17,5.58,5.73,6.77,9.98,11.83,2.53,0.0,137.88,1100.07,99.3
Month,Student,All,07/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Student,All,06/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0
Month,Teacher,Active,03/01/22,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.2,0.2
Month,Teacher,Active,02/01/22,53.48,6.97,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.28,69.52,61.15
Month,Teacher,Active,01/01/22,24.62,5.72,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.3,37.05,30.67
Month,Teacher,Active,12/01/21,13.9,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,18.17,16.03
Month,Teacher,Active,11/01/21,44.25,6.02,2.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.62,62.35,52.28
Month,Teacher,Active,10/01/21,37.7,3.18,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.92,44.22,40.93
Month,Teacher,Active,09/01/21,54.07,5.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.67,65.8,59.93
Month,Teacher,Active,08/01/21,38.92,9.47,6.53,1.2,0.08,0.0,0.02,0.02,0.03,0.05,0.03,0.1,0.08,0.03,0.1,0.0,0.02,0.07,0.03,0.0,0.0,137.88,90.45,56.78
Month,Teacher,Active,07/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Teacher,Active,06/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0
Month,Teacher,All,03/01/22,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.2,0.2
Month,Teacher,All,02/01/22,53.48,6.97,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.28,69.52,61.15
Month,Teacher,All,01/01/22,24.62,5.72,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.3,37.05,30.67
Month,Teacher,All,12/01/21,13.9,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,18.17,16.03
Month,Teacher,All,11/01/21,44.25,6.02,2.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.62,62.35,52.28
Month,Teacher,All,10/01/21,37.7,3.18,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.92,44.22,40.93
Month,Teacher,All,09/01/21,54.07,5.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.67,65.8,59.93
Month,Teacher,All,08/01/21,38.92,9.47,6.53,1.2,0.08,0.0,0.02,0.02,0.03,0.05,0.03,0.1,0.08,0.03,0.1,0.0,0.02,0.07,0.03,0.0,0.0,137.88,90.45,56.78
Month,Teacher,All,07/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Month,Teacher,All,06/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0
Week,Student,Active,02/28/22,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.1,0.1
Week,Student,Active,02/21/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.13,0.0,0.0
Week,Student,Active,02/14/22,0.5,0.03,0.0,0.03,0.03,0.03,0.05,0.08,0.02,0.02,0.08,0.05,0.07,0.05,0.28,0.07,0.18,0.0,0.0,0.0,0.0,22.87,13.92,1.58
Week,Student,Active,02/07/22,4.95,0.65,0.7,0.05,0.35,1.5,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.73,19.42,8.22
Week,Student,Active,01/31/22,8.32,2.58,1.07,1.53,0.23,0.05,0.07,0.03,0.02,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.57,28.0,14.18
Week,Student,Active,01/24/22,4.95,2.95,1.2,0.85,1.02,0.18,0.2,0.05,0.33,0.55,0.17,0.1,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.95,39.53,12.72
Week,Student,Active,01/17/22,0.05,0.08,0.03,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.52,1.52,0.47
Week,Student,Active,01/10/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0
Week,Student,Active,01/03/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
Week,Student,Active,12/27/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
